/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:153: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:174: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [140/500] 	 Discriminator Loss: 0.0105 	 Generator Loss: 0.6439
Epoch [141/500] 	 Discriminator Loss: 0.0183 	 Generator Loss: 0.5351
Epoch [142/500] 	 Discriminator Loss: 0.0137 	 Generator Loss: 0.6489
Epoch [143/500] 	 Discriminator Loss: 0.0216 	 Generator Loss: 0.4907
Epoch [144/500] 	 Discriminator Loss: 0.0326 	 Generator Loss: 0.4550
Epoch [145/500] 	 Discriminator Loss: 0.0079 	 Generator Loss: 0.5694
Epoch [146/500] 	 Discriminator Loss: 0.0506 	 Generator Loss: 0.4621
Epoch [147/500] 	 Discriminator Loss: 0.0116 	 Generator Loss: 0.6412
Epoch [148/500] 	 Discriminator Loss: 0.0031 	 Generator Loss: 0.6871
Epoch [149/500] 	 Discriminator Loss: 0.0251 	 Generator Loss: 0.5676
Epoch [150/500] 	 Discriminator Loss: 0.0075 	 Generator Loss: 0.6925
Epoch [151/500] 	 Discriminator Loss: 0.0134 	 Generator Loss: 0.6197
Epoch [152/500] 	 Discriminator Loss: 0.0183 	 Generator Loss: 0.5338
Epoch [153/500] 	 Discriminator Loss: 0.0053 	 Generator Loss: 0.7096
Epoch [154/500] 	 Discriminator Loss: 0.0061 	 Generator Loss: 0.6597
Epoch [155/500] 	 Discriminator Loss: 0.0179 	 Generator Loss: 0.5620
Epoch [156/500] 	 Discriminator Loss: 0.0104 	 Generator Loss: 0.6675
Epoch [157/500] 	 Discriminator Loss: 0.0168 	 Generator Loss: 0.7057
Epoch [158/500] 	 Discriminator Loss: 0.0052 	 Generator Loss: 0.7527
Epoch [159/500] 	 Discriminator Loss: 0.0018 	 Generator Loss: 0.7680
Epoch [160/500] 	 Discriminator Loss: 0.0048 	 Generator Loss: 0.6970
Epoch [161/500] 	 Discriminator Loss: 0.0163 	 Generator Loss: 0.7012
Epoch [162/500] 	 Discriminator Loss: 0.0149 	 Generator Loss: 0.7420
Epoch [163/500] 	 Discriminator Loss: 0.0138 	 Generator Loss: 0.7860
Epoch [164/500] 	 Discriminator Loss: 0.0029 	 Generator Loss: 0.7039
Epoch [165/500] 	 Discriminator Loss: 0.0309 	 Generator Loss: 0.6156
Epoch [166/500] 	 Discriminator Loss: 0.0091 	 Generator Loss: 0.7076
Epoch [167/500] 	 Discriminator Loss: 0.0331 	 Generator Loss: 0.6303
Epoch [168/500] 	 Discriminator Loss: 0.0048 	 Generator Loss: 0.7708
Epoch [169/500] 	 Discriminator Loss: 0.0097 	 Generator Loss: 0.7183
Epoch [170/500] 	 Discriminator Loss: 0.0159 	 Generator Loss: 0.6876
Epoch [171/500] 	 Discriminator Loss: 0.0271 	 Generator Loss: 0.6598
Epoch [172/500] 	 Discriminator Loss: 0.0065 	 Generator Loss: 0.7531
Epoch [173/500] 	 Discriminator Loss: 0.0128 	 Generator Loss: 0.6709
Epoch [174/500] 	 Discriminator Loss: 0.0299 	 Generator Loss: 0.4707
Epoch [175/500] 	 Discriminator Loss: 0.0185 	 Generator Loss: 0.6107
Epoch [176/500] 	 Discriminator Loss: 0.0186 	 Generator Loss: 0.7193
Epoch [177/500] 	 Discriminator Loss: 0.0105 	 Generator Loss: 0.7169
Epoch [178/500] 	 Discriminator Loss: 0.0073 	 Generator Loss: 0.6923
Epoch [179/500] 	 Discriminator Loss: 0.0196 	 Generator Loss: 0.7382
Epoch [180/500] 	 Discriminator Loss: 0.0078 	 Generator Loss: 0.7131
Epoch [181/500] 	 Discriminator Loss: 0.0037 	 Generator Loss: 0.7688
Epoch [182/500] 	 Discriminator Loss: 0.0127 	 Generator Loss: 0.6962
Epoch [183/500] 	 Discriminator Loss: 0.0030 	 Generator Loss: 0.8075
Epoch [184/500] 	 Discriminator Loss: 0.0031 	 Generator Loss: 0.7487
Epoch [185/500] 	 Discriminator Loss: 0.0028 	 Generator Loss: 0.7037
Epoch [186/500] 	 Discriminator Loss: 0.0037 	 Generator Loss: 0.8038
